variable_id,variable_name_cn,variable_role,direct_model_use,canonical_source,source_date_column,source_value_column,series_filter,source_owner,definition_regime,definition_version,economic_block,frequency,unit,reference_period_type,release_rule_code,release_rule_param,release_date_rule,quality_grade,model_tier,status,vintage_status,dependencies,derivation_formula,observed_start,observed_end,special_rules,notes,persistence_policy,max_stale_months,weight_base_regime,acquisition_source,source_computed,pit_eligible,backtest_eligible
liq.money_detail,货币供应明细(1978+),RAW_FEATURE,FALSE,money_supply_pboc_detail.csv,统计时间(YYYY.M),货币和准货币（广义货币M2）同比增长,,中国人民银行,MONEY_DETAIL,v1.1,Liquidity,monthly,%,参考月末,SOURCE_RELEASE_DATE,,官方,B,Extended,SUPPLEMENTAL,CURRENT,,,1978-01,2026-07,降序需反转; 含储蓄存款历史,长历史参考,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
liq.cbb,央行资产负债表,RAW_FEATURE,FALSE,central_bank_balance.csv,统计时间,总资产,,中国人民银行,CBB_CURRENT,v1.1,Liquidity,monthly,亿元,参考月末,SOURCE_RELEASE_DATE,,官方,C,Supplemental,SUPPLEMENTAL,CURRENT,,,1993-03,2026-07,结构复杂缺失多,,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
cre.tsf_stock,社融存量,RAW_FEATURE,FALSE,social_financing_stock_full.csv,月份,存量(万亿元),,中国人民银行,AFRE_MIXED,v1.1,Credit,monthly,万亿元,参考月末,SOURCE_RELEASE_DATE,,官方发布日,A,Extended,CANONICAL,MIXED,,,2014-12,2026-07,"2017-2019可比=RETROSPECTIVE_COMPARABLE, 2020+=CURRENT_RELEASE; 存量水平有趋势, 模型用同口径同比",审核P0-1: 从Baseline降级,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
cre.tsf_stock_yoy,社融存量同比(同口径),DERIVED_FEATURE,TRUE,(derived),,,,构造,DERIVED_V1,v1.1,Credit,monthly,%,参考月末,DERIVED_IN_25,,Step2.5构造; 2018-01起同口径,A,Extended,CANONICAL,MIXED,cre.tsf_stock,AFRE_t/AFRE_{t-12}-1,,,严格PIT从2020+使用; 2018-19 comparable仅EX_POST_ROBUSTNESS,Extended Credit核心变量,,,,,,TRUE,TRUE
cre.new_loan,新增人民币贷款,RAW_FEATURE,FALSE,new_financial_credit.csv,月份,当月(亿元),,中国人民银行,LOAN_CURRENT,v1.1,Credit,monthly,亿元,参考月,SOURCE_RELEASE_DATE,,官方发布日,A,Supplemental,CANONICAL,CURRENT,,,2008-01,2026-07,"强季节: 模型用loans_12m或季节分位, 勿直接入因子",审核P0-2: 退出Baseline特征,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
cre.loans_12m,新增贷款12M滚动,DERIVED_FEATURE,TRUE,(derived),,,,构造,DERIVED_V1,v1.1,Credit,monthly,亿元,参考月,DERIVED_IN_25,,Step2.5构造,A,Baseline,CANONICAL,CURRENT,cre.new_loan,"rolling_sum(new_loan,12)",,,,审核P0-2: 升至Baseline,,,,,,TRUE,TRUE
cre.tsf_flow,社融增量,RAW_FEATURE,FALSE,social_financing_flow.csv,月份,社会融资规模增量,,中国人民银行,TSF_FLOW,v1.1,Credit,monthly,亿元,参考月,SOURCE_RELEASE_DATE,,官方,B,Extended,SUPPLEMENTAL,CURRENT,,,2015-01,2026-04,,与存量互补,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
cre.tsf_history,社融存量历史辅助表,AUDIT_ONLY,FALSE,social_financing_stock_history.csv,月份,社融存量(万亿元),,多源,AFRE_AUX,v1.1,Credit,monthly,万亿元,参考月末,SOURCE_RELEASE_DATE,,官方,C,None,LINEAGE_ONLY,CURRENT,,,2017-07,2026-07,,来源追溯,,,,,,TRUE,TRUE
cre.tsf_monthly_reports,社融存量月度报告解析,AUDIT_ONLY,FALSE,social_financing_stock_monthly_reports.csv,月份,存量(万亿元),,中国人民银行,AFRE_AUX,v1.1,Credit,monthly,万亿元,参考月末,SOURCE_RELEASE_DATE,,官方,C,None,LINEAGE_ONLY,CURRENT,,,2014-12,2025-07,,来源追溯,,,,,,TRUE,TRUE
cre.tsf_starter,社融存量起步表,AUDIT_ONLY,FALSE,social_financing_stock_starter.csv,统计月末,社融存量(万亿元),,中国人民银行,AFRE_AUX,v1.1,Credit,monthly,万亿元,参考月末,SOURCE_RELEASE_DATE,,官方,C,None,LINEAGE_ONLY,CURRENT,,,2025-12,2026-05,,来源追溯,,,,,,TRUE,TRUE
cre.tsf_comparable,社融可比口径2017-2019,AUDIT_ONLY,FALSE,tsf_stock_comparable_2017_2019.csv,月份,"社融存量(可比口径,万亿元)",,人行年报附表1,AFRE_2017_2019_COMPARABLE,v1.1,Credit,monthly,万亿元,参考月末,SOURCE_RELEASE_DATE,,2019年报附表1,A,None,LINEAGE_ONLY,RETROSPECTIVE_COMPARABLE,,,2017-01,2019-12,,full表可比段来源,,,,,,TRUE,TRUE
hh.income_quarterly,居民人均可支配收入(季度累计),RAW_FEATURE,TRUE,nbs_income_quarterly.csv,期间,值,"指标==人均可支配收入(元,累计)",国家统计局,INCOME_QUARTERLY,v1.1,Household,quarterly,元,季度(累计),QUARTER_SOURCE_RELEASE,,发布月推导(1月FY/4月Q1/7月H1/10月Q3),A,Extended,CANONICAL,CURRENT,,,2021-Q3,2026-H1,不插值/不除3; last-known+stale_age,迁移重发报告标题年判定,LOW_FREQ_HOLD_WITH_STALE,,,,,TRUE,TRUE
hh.income_annual,居民人均可支配收入(年度),RAW_FEATURE,TRUE,income_annual_2013_2020.csv,年份,"全国人均可支配收入(元,年度)",,国家统计局,INCOME_ANNUAL,v1.1,Household,annual,元,年度,ANNUAL_COMMUNIQUE,,次年2月公报,A,Extended,CANONICAL,CURRENT,,,2013,2020,'?'已转NA; 2013缺中位数/消费,衔接季度表FY段,LOW_FREQ_HOLD_WITH_STALE,,,,,TRUE,TRUE
hh.deposit,居民储蓄存款,RAW_FEATURE,TRUE,manual_deposit_bridge.csv,date,balance_100m_rmb,definition_regime==HOUSEHOLD_DEPOSIT_SUCCESSOR_2015_PLUS,中国人民银行,HH_DEPOSIT_HOUSEHOLD_2015PLUS,v1.1,Household,monthly,亿元,参考月末,SOURCE_RELEASE_DATE,,官方,B,Current,CURRENT_ONLY,CURRENT,,,2015-01,2026-06,住户存款口径2015+(审核P0-6); predecessor=hh.deposit_hist; comparable_across_break=false; PIT时滞1月(月末值次月可知),"manual_deposit_bridge全量替换(2015+住户存款余额, 覆盖v1的2024-02起30行子集); 面板PIT对齐29月100%一致",PERIODIC_REQUIRE_FRESHNESS,2,,MANUAL_EXTERNAL,,TRUE,TRUE
hh.deposit_hist,储蓄存款(货币明细1978+),RAW_FEATURE,FALSE,money_supply_pboc_detail.csv,统计时间(YYYY.M),储蓄存款同比增长,,中国人民银行,HH_DEPOSIT_HIST,v1.1,Household,monthly,%,参考月末,SOURCE_RELEASE_DATE,,官方,B,Extended,SUPPLEMENTAL,CURRENT,,,1994-03,2014-12,旧口径储蓄存款2014-12终止(审核P0-6); 2012-01+用manual_deposit_legacy替换旧源漂移段; successor=hh.deposit; comparable_across_break=false,"口径断裂不伪装连续; 2015+由hh.deposit(住户存款)承接; 标准化层保持v3源, 月度层处理口径",PERIODIC_REQUIRE_FRESHNESS,2,,MANUAL_EXTERNAL,,TRUE,TRUE
gold.sge,上海金基准价(早盘第1轮),RAW_FEATURE,TRUE,gold_sge_canonical.csv(Step2.2生成),交易日期,上海金基准价(早盘第1轮),,上金所官方,SGE_BENCHMARK,v1.1,Gold,daily,元/克,交易日,T0_CLOSE,,T+0,A,Extended,CANONICAL,CURRENT,,,2016-04-19,2026-08-25,2016前NotApplicable(非缺失); Step2.2拼接history(2016-04-19~2023-12-29)+daily(2024-01-02~current),审核P0-8: canonical_source为Step2.2生成的拼接文件; 源段: sge_gold_benchmark_history_2016_2023.csv + sge_gold_benchmark_daily.csv,MARKET_LAST_VALID,,,,,TRUE,TRUE
gold.au9999_v2,上海金(akshare旧),AUDIT_ONLY,FALSE,gold_au9999_sge.csv,交易时间,早盘价,,akshare(日期偏移),SGE_AKSHARE_LEGACY,v1.1,Gold,daily,元/克,交易日,T0_CLOSE,,T+0,C,None,LINEAGE_ONLY,CURRENT,,,2016-04-18,2026-08-20,日期系统性1天偏移,已被官方替代,,,,,,TRUE,TRUE
gold.raw,上海金轮次明细,AUDIT_ONLY,FALSE,sge_gold_benchmark_raw.csv,交易日期,价格,,上金所官方,SGE_BENCHMARK,v1.1,Gold,daily,元/克,交易日,T0_CLOSE,,T+0,B,None,LINEAGE_ONLY,CURRENT,,,2024-01-31,2026-08-03,,来源追溯; 模型用早盘第1轮固定定义,,,,,,TRUE,TRUE
gold.au9999_q,Au9999季度末,RAW_FEATURE,FALSE,sge_gold_quarterly_au9999.csv,季度末实际交易日,SGE_Au9999收盘价(元/克),,上金所官网(用户手工),AU9999_QUARTERLY,v1.1,Gold,quarterly,元/克,季度末交易日,T0_CLOSE,,T+0,B,Extended,SUPPLEMENTAL,CURRENT,,,2016-Q1,2023-Q4,,与基准互证中位差0.81,LOW_FREQ_HOLD_WITH_STALE,,,,,TRUE,TRUE
mar.market_balance,全市场融资余额,RAW_FEATURE,TRUE,margin_financing_market_monthly.csv,月份,融资余额(亿),,交易所申报汇总,MARGIN_MARKET,v1.1,Margin,MIXED,亿元,MIXED_ANNUAL_MONTHLY,SOURCE_RELEASE_DATE,,交易所月度统计,A,Extended,CANONICAL,CURRENT,,,2010-FY,2026-07,月末余额下月可知(交易所规则次日开市前公布); available_date延后; max_stale保持0; 补缺月由manual_market_balance合并(Step2.2 MERGE),"混合频率: 2010-FY~2011-FY=年度观测(融资融券2010-03试点全年汇总), 2012-01起=月度; manual_market_balance补充2025-02~2026-07; 面板PIT对齐差0.001%",PERIODIC_REQUIRE_FRESHNESS,0,,MANUAL_EXTERNAL,,TRUE,TRUE
mar.sz_monthly,深市融资余额(月度),RAW_FEATURE,TRUE,margin_financing_sz_monthly.csv,ym,margin_balance_last,,深交所,MARGIN_SZ,v1.1,Margin,monthly,元,月末,SOURCE_RELEASE_DATE,,日度聚合+官方月报,B,Current,SUPPLEMENTAL,CURRENT,,,2010-03,2026-08,缺口期官方值coverage=1.0(official); period_end主键,深市代理用于Current,PERIODIC_REQUIRE_FRESHNESS,2,,,,TRUE,TRUE
mar.sh_daily,沪市融资余额(日度),AUDIT_ONLY,FALSE,margin_financing_sh.csv,日期,融资余额,,上交所(akshare),MARGIN_DAILY,v1.1,Margin,daily,元,交易日,T0_CLOSE,,T+0,B,None,LINEAGE_ONLY,CURRENT,,,2010-03-31,2026-08-24,,日度源,,,,,,TRUE,TRUE
mar.sz_daily,深市融资余额(日度),AUDIT_ONLY,FALSE,margin_financing_sz.csv,日期,融资余额,,深交所(akshare),MARGIN_DAILY,v1.1,Margin,daily,元,交易日,T0_CLOSE,,T+0,B,None,LINEAGE_ONLY,CURRENT,,,2010-03-31,2026-08-24,,日度源(月度表上游),,,,,,TRUE,TRUE
mar.sz_official,深交所官方月报(修复源),AUDIT_ONLY,FALSE,szse_margin_monthly_official.csv,月份,融资余额(百万元),,深交所,MARGIN_SZ,v1.1,Margin,monthly,百万元,月末,SOURCE_RELEASE_DATE,,官方月报,B,None,LINEAGE_ONLY,CURRENT,,,2024-09,2025-05,,缺口修复来源,,,,,,TRUE,TRUE
gov.fiscal_revenue,财政收入(当月),RAW_FEATURE,TRUE,em_czsr.csv,date,BASE,,财政部,FISCAL_REVENUE,2026-08-27,Government,monthly,亿元,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,EXTENDED,SUPPLEMENTAL,CURRENT,,,2008-01,2026-07,,财政部月中发布上月数据; BASE_SAME=东财计算同比标EASTMONEY_DERIVED,PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
gov.tax_revenue_cum,全国税收收入(季度累计),RAW_FEATURE,FALSE,em_qgsssr.csv,date,TAX_INCOME,,财政部,TAX_REVENUE_CUM,2026-08-27,Government,quarterly,亿元,quarterly,CONSERVATIVE_QUARTER_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,CONDITIONAL,SUPPLEMENTAL,CURRENT,,,2005-Q1,2026-Q2,,季度末YTD累计值(审核P0-3确认非单月); 单季值须由相邻累计差分(derived),LOW_FREQ_HOLD_WITH_STALE,3,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
ext.forex_reserve,外汇储备,RAW_FEATURE,TRUE,em_hjwh.csv,date,FOREX,,国家外汇管理局,FOREX_RESERVE,2026-08-27,External,monthly,亿美元,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,EXTENDED,SUPPLEMENTAL,CURRENT,,,2008-01,2026-07,,央行次月7日左右公布; FOREX_SAME=同比(接口计算),PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
ext.gold_reserve_value,黄金储备(美元价值),RAW_FEATURE,FALSE,em_hjwh.csv,date,GOLD_RESERVES,,中国人民银行,GOLD_RESERVE_VALUE,2026-08-27,External,monthly,亿美元,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,CONDITIONAL,SUPPLEMENTAL,CURRENT,,,2015-06,2026-07,,"审核P0-4确认: GOLD_RESERVES列=美元价值非数量(2015-12=601.91亿/2020-12=1182.46亿/2025-12=3194.5亿, 与黄金价×官方盎司量级吻合); 数量需另行提取",PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
ext.fdi,外商直接投资实际使用(年度),RAW_FEATURE,FALSE,em_fdi.csv,date,ACTUAL_FOREIGN,,商务部,FDI,2026-08-27,External,annual,亿美元,annual,CONSERVATIVE_ANNUAL_60D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,SUPPLEMENTAL,SUPPLEMENTAL,CURRENT,,,1983-FY,2025-FY,,审核P0-2确认: 43行=1983-2025每年一条(年度序列非月度); reference_period=YYYY-FY,LOW_FREQ_HOLD_WITH_STALE,12,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
mar.stock_turnover,沪深股票成交额,RAW_FEATURE,TRUE,em_gpjytj.csv,date,DEAL_AMOUNT_SH,,交易所(沪深),STOCK_TURNOVER,2026-08-27,Market,monthly,亿元,monthly,T0_CLOSE,,PIT三级: 官方发布日>源特定规则>保守兜底,A,EXTENDED,SUPPLEMENTAL,CURRENT,,,2008-01,2026-07,,市场数据当日收盘可知; 沪/深合并口径,MARKET_LAST_VALID,0,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
mar.margin_transfer,交易结算资金(银证转账),RAW_FEATURE,FALSE,em_banktransfer.csv,date,SETTLE_FUNDS_NET,,中国证券投资者保护基金,MARGIN_TRANSFER,2026-08-27,Market,monthly,亿元,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,SUPPLEMENTAL,SUPPLEMENTAL,CURRENT,,,2012-01,2026-07,,原始为周度汇总; 频率判定Step2.2核验,PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
gro.enterprise_boom,企业景气指数,RAW_FEATURE,FALSE,em_qyjqzs.csv,date,BOOM_INDEX,,国家统计局,ENTERPRISE_BOOM,2026-08-27,Growth,quarterly,指数,quarterly,CONSERVATIVE_QUARTER_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,SUPPLEMENTAL,SUPPLEMENTAL,CURRENT,,,2004-01,2026-07,,季度频率; 与企业家信心指数同表,LOW_FREQ_HOLD_WITH_STALE,3,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
inf.enterprise_goods,企业商品价格指数,RAW_FEATURE,FALSE,em_qyspjg.csv,date,BASE,,中国人民银行,ENTERPRISE_GOODS,2026-08-27,Inflation,monthly,指数,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,SUPPLEMENTAL,SUPPLEMENTAL,CURRENT,,,2003-01,2026-07,,央行企业商品价格; 与PPI关系待定,PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
hh.consumer_confidence,消费者信心指数,RAW_FEATURE,FALSE,em_xfzxx.csv,date,CONSUMERS_FAITH_INDEX,,国家统计局,CONSUMER_CONFIDENCE,2026-08-27,Household,monthly,指数,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,SUPPLEMENTAL,SUPPLEMENTAL,CURRENT,,,2003-01,2026-07,,发布连续性/历史修订Step2.2核验,PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
hh.consumer_satisfaction,消费者满意指数,RAW_FEATURE,FALSE,em_xfzxx.csv,date,CONSUMERS_ASTIS_INDEX,,国家统计局,CONSUMER_SATISFACTION,2026-08-27,Household,monthly,指数,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,SUPPLEMENTAL,SUPPLEMENTAL,CURRENT,,,2003-01,2026-07,,与信心指数同表分列,PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
liq.total_deposits_change,金融机构本外币存款(当月新增),RAW_FEATURE,TRUE,em_wbck.csv,date,BASE,,中国人民银行,TOTAL_DEPOSITS_CHANGE,2026-08-27,Liquidity,monthly,亿元,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,EXTENDED,SUPPLEMENTAL,CURRENT,,,2008-01,2026-07,,"审核P0-6确认: em_wbck BASE列=当月新增(flow)非余额(2026-06=19429.65亿/05=18180.21亿, 余额应为百万亿级); 余额列不存在于源表",PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
liq.fx_loans_change,外汇贷款(当月变化),RAW_FEATURE,FALSE,em_whxd.csv,date,BASE,,中国人民银行,FX_LOANS_CHANGE,2026-08-27,Liquidity,monthly,亿美元,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,SUPPLEMENTAL,SUPPLEMENTAL,CURRENT,,,2008-01,2026-07,,"审核P0-5确认: em_whxd BASE列=当月变化量(flow, 2026-07=-8/04=-264有正负)非余额; 单位亿美元",PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
pro.house_price,新房价格指数同比,RAW_FEATURE,FALSE,em_newhouse.csv,date,FIRST_COMHOUSE_SAME,,国家统计局,HOUSE_PRICE,2026-08-27,Property,monthly,%,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,CONDITIONAL,SUPPLEMENTAL,CURRENT,,,2015-01,2026-07,,"聚合未定义(70城均/中位/分组), 暂RAW_PANEL不进模型; 374行结构Step2.2核验",PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
rate.rrr_events_em,存款准备金率调整事件(东财),EVENT_STATE,FALSE,em_ckzbj.csv,date,INTEREST_RATE_BB,,中国人民银行,RRR_EVENT_EM,2026-08-27,Rates,event,%,event,EVENT_ANNOUNCEMENT,,PIT三级: 官方发布日>源特定规则>保守兜底,A,AUDIT_ONLY,SUPPLEMENTAL,CURRENT,,,2007-01,2026-07,,"与既有存准事件表交叉验证, 不入模型; 机构维度BIG/SMALL分列(审核P0-11)",EVENT_PERSIST_UNTIL_NEXT,0,,EASTMONEY,EASTMONEY_DERIVED,TRUE,TRUE
liq.afre_stock_yoy_official,社融存量同比(官方),RAW_FEATURE,FALSE,manual_afre_official.csv,date,afre_stock_yoy_pct,,中国人民银行,AFRE_OFFICIAL,2026-08-27,Liquidity,monthly,%,monthly,CONSERVATIVE_MONTH_20D,,PIT三级: 官方发布日>源特定规则>保守兜底,A,EXTENDED,SUPPLEMENTAL,CURRENT,,,2008-12,2026-07,,审核P0-7三层方案: official主源; 2017-19段行级RETROSPECTIVE_COMPARABLE(available=2020-01-31); 早期仅官方年末/季末值其余structural NA(源文件observation_status标注); derived保留作cross-check(Step2.5),PERIODIC_REQUIRE_FRESHNESS,2,,EASTMONEY,,TRUE,TRUE
